Net generation for all sectors,,,,,,,,,,,,,,,,
"http://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=1",,,,,,,,,,,,,,,,
Thu Mar 26 2015 00:05:06 GMT-0400 (EDT),,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Net generation for all sectors,thousand megawatthours,,,,,,,,,,,,,,,
United States,thousand megawatthours,ELEC.GEN.ALL-US-99.A,,,,,,,,,,,,,,
United States : all fuels,thousand megawatthours,ELEC.GEN.ALL-US-99.A,3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4071027,4092935
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-99.A,1903956,1933130,1973737,1978301,2012873,1990511,2016456,1985801,1755904,1847290,1733430,1514043,1584194,1585697
United States : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-US-99.A,114647,78701,102734,100391,99840,44460,49505,31917,25972,23337,16086,13403,13645,18708
United States : petroleum coke,thousand megawatthours,ELEC.GEN.PC-US-99.A,10233,15867,16672,20754,22385,19706,16234,14325,12964,13724,14096,9787,13425,11781
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-99.A,639129,691006,649908,710100,760960,816441,896590,882981,920979,987697,1013689,1225894,1125691,1121928
United States : other gases,thousand megawatthours,ELEC.GEN.OOG-US-99.A,9039,11463,15600,15252,13464,14177,13453,11707,10632,11313,11566,11898,12876,11578
United States : nuclear,thousand megawatthours,ELEC.GEN.NUC-US-99.A,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797067
United States : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-US-99.A,216961,264329,275806,268417,270321,289246,247510,254831,273445,260203,319355,276240,268548,258749
United States : other renewables,thousand megawatthours,ELEC.GEN.AOR-US-99.A,70769,79109,79487,83067,87329,96525,105238,126101,144279,167173,193981,218333,254673,281060
United States : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-US-99.A,-8823,-8743,-8535,-8488,-6558,-6558,-6896,-6288,-4627,-5501,-6421,-4950,-4681,-6209
United States : other,thousand megawatthours,ELEC.GEN.OTH-US-99.A,11906,13527,14045,14232,12821,12974,12231,11804,11928,12855,14154,13787,13639,12576
