state, residential 2015, residential 2014, commercial '15, commercial '14, industrial '15, industrial '14, transportation '15, transportation '14
Alabama,10.99,10.72,10.63,10.75,5.58,6.20,--,--,8.95,9.25
Alaska,19.35,18.21,17.26,16.68,14.44,14.70,--,--,17.51,16.88
Arizona,11.03,10.91,9.52,9.24,5.84,6.11,8.07,--,9.39,9.34
Arkansas,8.73,8.29,7.62,7.40,5.65,5.54,10.88,NM,7.54,7.25
California,17.47,16.62,13.98,13.06,10.74,10.32,8.00,8.42,14.73,13.94
Colorado,11.39,11.44,9.18,9.36,6.65,6.88,9.88,10.72,9.31,9.49
Connecticut,21.00,18.29,16.79,15.74,13.20,13.45,10.84,18.50,18.44,16.79
Delaware,13.76,12.48,11.32,10.93,8.31,10.67,--,--,11.74,11.65
District of Columbia,13.84,12.60,12.59,13.26,7.76,4.42,NM,9.72,12.68,12.84
Florida,11.93,11.86,9.91,9.74,8.31,7.93,9.19,9.27,10.83,10.71
Georgia,10.43,10.83,9.78,10.80,5.86,7.08,5.38,6.81,9.22,10.06
Hawaii,33.34,37.40,31.07,34.92,26.68,30.82,--,--,30.04,34.08
Idaho,9.66,9.17,7.59,7.30,5.64,5.43,--,--,8.06,7.66
Illinois,11.50,9.76,8.61,8.31,6.38,6.32,6.44,5.11,9.00,8.27
Indiana,10.64,10.16,9.63,9.44,6.72,6.88,9.66,9.23,8.86,8.76
Iowa,10.22,9.99,8.16,8.01,5.40,5.46,--,--,7.84,7.84
Kansas,11.34,10.94,9.53,9.33,7.36,7.11,--,--,9.67,9.41
Kentucky,9.50,9.42,8.90,8.88,5.15,6.13,--,--,7.80,8.19
Louisiana,8.80,8.49,8.84,8.68,5.50,5.37,8.38,9.41,7.62,7.51
Maine,15.62,14.45,14.81,14.31,10.07,11.79,--,--,14.12,13.79
Maryland,13.47,13.14,10.99,11.52,9.14,11.51,9.16,10.11,12.13,12.35
Massachusetts,20.80,16.83,16.53,15.45,13.16,13.10,13.04,NM,17.87,15.69
Michigan,13.60,13.85,10.05,10.52,6.64,7.78,11.91,13.59,10.50,11.05
Minnesota,11.51,11.33,9.07,9.15,6.68,6.85,9.55,9.49,9.28,9.37
Mississippi,11.06,10.44,10.97,10.53,6.54,6.31,--,--,9.58,9.18
Missouri,9.23,8.86,7.80,7.67,5.52,5.59,6.48,6.20,8.10,7.94
Montana,10.74,9.88,10.84,9.31,5.18,5.59,--,--,9.35,8.64
Nebraska,9.15,8.94,8.34,8.19,6.75,6.63,--,--,8.19,8.03
Nevada,12.70,12.46,9.61,9.64,5.93,5.95,8.70,8.15,9.22,9.18
New Hampshire,19.15,16.54,15.75,15.30,12.83,12.79,--,--,16.87,15.49
New Jersey,15.31,15.26,11.98,13.88,10.35,15.11,12.58,10.29,13.16,14.54
New Mexico,12.18,11.28,10.24,9.49,6.16,5.94,--,--,9.65,9.00
New York,19.29,19.53,14.62,16.37,6.09,7.41,13.79,13.08,15.36,16.51
North Carolina,10.54,10.29,8.44,8.62,6.27,6.34,7.67,8.02,9.14,9.14
North Dakota,8.34,7.78,8.11,7.79,7.98,7.10,--,--,8.15,7.59
Ohio,12.05,10.98,9.67,9.31,6.66,6.83,7.38,7.06,9.76,9.30
Oklahoma,8.56,8.32,7.03,7.44,5.06,5.23,--,--,7.17,7.28
Oregon,10.30,10.08,8.76,8.67,5.78,5.97,9.15,8.46,8.81,8.80
Pacific Noncontiguous,26.22,27.50,23.92,25.71,23.24,26.09,--,--,24.47,26.42
Pennsylvania,12.92,12.74,9.54,10.38,7.00,8.49,7.18,8.74,10.28,10.84
Rhode Island,17.72,20.16,17.85,15.48,15.32,14.20,17.95,15.92,17.55,17.41
South Carolina,11.77,11.65,9.92,10.13,5.97,6.57,--,--,9.45,9.71
South Dakota,10.02,9.43,8.80,8.21,7.03,6.92,--,--,9.02,8.55
Tennessee,9.96,9.74,10.10,10.00,5.94,6.41,8.18,12.89,9.18,9.20
Texas,11.54,11.18,8.06,8.00,5.82,5.82,5.33,5.08,8.95,8.79
Utah,10.33,10.00,7.96,7.69,5.63,5.53,10.18,9.87,7.89,7.71
Vermont,16.48,16.94,14.06,14.26,10.32,10.36,--,--,14.24,14.47
Virginia,10.80,10.09,8.48,8.04,7.45,6.79,8.75,8.03,9.47,8.89
Washington,8.13,8.58,7.66,7.89,4.21,4.34,8.27,8.36,6.98,7.33
West Virginia,9.06,9.01,7.81,7.71,5.86,5.99,10.04,9.92,7.68,7.83
Wisconsin,13.74,13.10,10.60,10.34,7.39,7.30,--,--,10.69,10.44
Wyoming,10.28,9.77,8.75,8.48,6.47,6.31,--,--,7.73,7.51
