Connecticut,21.00,16.79,13.20,10.84,18.44
Alabama,10.99,10.63,5.58,--,8.95
Alaska,19.35,17.26,14.44,--,17.51
Arizona,11.03,9.52,5.84,8.07,9.39
Arkansas,8.73,7.62,5.65,10.88,7.54
California,17.47,13.98,10.74,8.00,14.73
Colorado,11.39,9.18,6.65,9.88,9.31
Delaware,13.76,11.32,8.31,--,11.74
District of Columbia,13.84,12.59,7.76,NM,12.68
Florida,11.93,9.91,8.31,9.19,10.83
Georgia,10.43,9.78,5.86,5.38,9.22
Hawaii,33.34,31.07,26.68,--,30.04
Idaho,9.66,7.59,5.64,--,8.06
Illinois,11.50,8.61,6.38,6.44,9.00
Indiana,10.64,9.63,6.72,9.66,8.86
Iowa,10.22,8.16,5.40,--,7.84
Kansas,11.34,9.53,7.36,--,9.67
Kentucky,9.50,8.90,5.15,--,7.80
Louisiana,8.80,8.84,5.50,8.38,7.62
Maine,15.62,14.81,10.07,--,14.12
Maryland,13.47,10.99,9.14,9.16,12.13
Massachusetts,20.80,16.53,13.16,13.04,17.87
Michigan,13.60,10.05,6.64,11.91,10.50
Minnesota,11.51,9.07,6.68,9.55,9.28
Mississippi,11.06,10.97,6.54,--,9.58
Missouri,9.23,7.80,5.52,6.48,8.10
Montana,10.74,10.84,5.18,--,9.35
Nebraska,9.15,8.34,6.75,--,8.19
Nevada,12.70,9.61,5.93,8.70,9.22
New Hampshire,19.15,15.75,12.83,--,16.87
New Jersey,15.31,11.98,10.35,12.58,13.16
New Mexico,12.18,10.24,6.16,--,9.65
New York,19.29,14.62,6.09,13.79,15.36
North Carolina,10.54,8.44,6.27,7.67,9.14
North Dakota,8.34,8.11,7.98,--,8.15
Ohio,12.05,9.67,6.66,7.38,9.76
Oklahoma,8.56,7.03,5.06,--,7.17
Oregon,10.30,8.76,5.78,9.15,8.81
Pennsylvania,12.92,9.54,7.00,7.18,10.28
Rhode Island,17.72,17.85,15.32,17.95,17.55
South Carolina,11.77,9.92,5.97,--,9.45
South Dakota,10.02,8.80,7.03,--,9.02
Tennessee,9.96,10.10,5.94,8.18,9.18
Texas,11.54,8.06,5.82,5.33,8.95
Utah,10.33,7.96,5.63,10.18,7.89
Vermont,16.48,14.06,10.32,--,14.24
Virginia,10.80,8.48,7.45,8.75,9.47
Washington,8.13,7.66,4.21,8.27,6.98
West Virginia,9.06,7.81,5.86,10.04,7.68
Wisconsin,13.74,10.60,7.39,--,10.69
Wyoming,10.28,8.75,6.47,--,7.73
