,Wind,Solar,Geothermal,Wood and wood-derived fuels,Other biomass
2001,6737,543,13741,35200,14548
2002,10354,555,14491,38665,15044
2003,11187,534,14424,37529,15812
2004,14144,575,14811,38117,15421
2005,17811,550,14692,38856,15420
2006,26589,508,14568,38762,16099
2007,34450,612,14637,39014,16525
2008,55363,864,14840,37300,17734
2009,73886,891,15009,36050,18443
2010,94652,1212,15219,37172,18917
2011,120177,1818,15316,37449,19222
2012,140822,4327,15562,37799,19823
2013,167992,9022,15775,40922,20964
2014,181791,18321,16628,43050,21269
