Rank,State,"Average Retail Price of Electricity to Residential Sector, cents/kWh",Note: Rankings are based on the full source data values.
1,HI,34.59,
2,CT,19.69,
3,MA,19.66,
4,NY,19.26,
5,NH,18.52,
6,AK,18.45,
7,CA,17.08,
8,RI,17.03,
9,VT,16.69,
10,ME,15.71,
11,NJ,15.56,
12,MI,13.95,
13,MD,13.51,
14,WI,13.41,
15,DE,13.11,
16,PA,13.01,
17,NV,12.95,
18,OH,12.32,
19,DC,12.07,
20,FL,11.92,
21,SC,11.82,
22,TX,11.76,
23,NM,11.58,
24,MN,11.49,
25,CO,11.44,
26,KS,11.34,
27,IL,11.31,
28,MS,11.3,
29,AL,11.08,
30,IN,11.07,
31,VA,10.97,
32,AZ,10.92,
33,WY,10.49,
34,NC,10.48,
35,GA,10.4,
36,UT,10.34,
37,OR,10.29,
38,IA,10.12,
39,TN,10.06,
40,SD,10.03,
41,KY,9.81,
42,MT,9.73,
43,ID,9.41,
44,MO,9.37,
45,NE,9.31,
46,LA,9.17,
47,WV,9.08,
48,AR,9.07,
49,OK,8.91,
50,ND,8.34,
51,WA,8.22,
