"Table 5.6.A. Average Retail Price of Electricity to Ultimate Customers by End-Use Sector,",,,,,,,,,,
"by State, January 2015 and 2014 (Cents per Kilowatthour)",,,,,,,,,,
,Residential,,Commercial,,Industrial,,Transportation,,All Sectors,
"Census Division
and State",January 2015,January 2014,January 2015,January 2014,January 2015,January 2014,January 2015,January 2014,January 2015,January 2014
New England,19.75,17.17,16.39,15.38,12.45,12.71,12.57,10.78,17.34,15.81
Connecticut,21.00,18.29,16.79,15.74,13.20,13.45,10.84,18.50,18.44,16.79
Maine,15.62,14.45,14.81,14.31,10.07,11.79,--,--,14.12,13.79
Massachusetts,20.80,16.83,16.53,15.45,13.16,13.10,13.04,NM,17.87,15.69
New Hampshire,19.15,16.54,15.75,15.30,12.83,12.79,--,--,16.87,15.49
Rhode Island,17.72,20.16,17.85,15.48,15.32,14.20,17.95,15.92,17.55,17.41
Vermont,16.48,16.94,14.06,14.26,10.32,10.36,--,--,14.24,14.47
Middle Atlantic,15.64,15.63,12.53,14.05,7.14,8.91,12.57,12.03,12.81,13.72
New Jersey,15.31,15.26,11.98,13.88,10.35,15.11,12.58,10.29,13.16,14.54
New York,19.29,19.53,14.62,16.37,6.09,7.41,13.79,13.08,15.36,16.51
Pennsylvania,12.92,12.74,9.54,10.38,7.00,8.49,7.18,8.74,10.28,10.84
East North Central,12.12,11.27,9.57,9.41,6.70,6.93,6.68,5.47,9.65,9.39
Illinois,11.50,9.76,8.61,8.31,6.38,6.32,6.44,5.11,9.00,8.27
Indiana,10.64,10.16,9.63,9.44,6.72,6.88,9.66,9.23,8.86,8.76
Michigan,13.60,13.85,10.05,10.52,6.64,7.78,11.91,13.59,10.50,11.05
Ohio,12.05,10.98,9.67,9.31,6.66,6.83,7.38,7.06,9.76,9.30
Wisconsin,13.74,13.10,10.60,10.34,7.39,7.30,--,--,10.69,10.44
West North Central,10.07,9.75,8.51,8.37,6.38,6.33,8.15,7.76,8.58,8.45
Iowa,10.22,9.99,8.16,8.01,5.40,5.46,--,--,7.84,7.84
Kansas,11.34,10.94,9.53,9.33,7.36,7.11,--,--,9.67,9.41
Minnesota,11.51,11.33,9.07,9.15,6.68,6.85,9.55,9.49,9.28,9.37
Missouri,9.23,8.86,7.80,7.67,5.52,5.59,6.48,6.20,8.10,7.94
Nebraska,9.15,8.94,8.34,8.19,6.75,6.63,--,--,8.19,8.03
North Dakota,8.34,7.78,8.11,7.79,7.98,7.10,--,--,8.15,7.59
South Dakota,10.02,9.43,8.80,8.21,7.03,6.92,--,--,9.02,8.55
South Atlantic,11.30,11.11,9.56,9.72,6.57,6.97,8.79,9.23,9.91,9.99
Delaware,13.76,12.48,11.32,10.93,8.31,10.67,--,--,11.74,11.65
District of Columbia,13.84,12.60,12.59,13.26,7.76,4.42,NM,9.72,12.68,12.84
Florida,11.93,11.86,9.91,9.74,8.31,7.93,9.19,9.27,10.83,10.71
Georgia,10.43,10.83,9.78,10.80,5.86,7.08,5.38,6.81,9.22,10.06
Maryland,13.47,13.14,10.99,11.52,9.14,11.51,9.16,10.11,12.13,12.35
North Carolina,10.54,10.29,8.44,8.62,6.27,6.34,7.67,8.02,9.14,9.14
South Carolina,11.77,11.65,9.92,10.13,5.97,6.57,--,--,9.45,9.71
Virginia,10.80,10.09,8.48,8.04,7.45,6.79,8.75,8.03,9.47,8.89
West Virginia,9.06,9.01,7.81,7.71,5.86,5.99,10.04,9.92,7.68,7.83
East South Central,10.28,10.03,10.10,10.02,5.68,6.24,8.18,12.89,8.83,8.95
Alabama,10.99,10.72,10.63,10.75,5.58,6.20,--,--,8.95,9.25
Kentucky,9.50,9.42,8.90,8.88,5.15,6.13,--,--,7.80,8.19
Mississippi,11.06,10.44,10.97,10.53,6.54,6.31,--,--,9.58,9.18
Tennessee,9.96,9.74,10.10,10.00,5.94,6.41,8.18,12.89,9.18,9.20
West South Central,10.56,10.18,8.03,7.99,5.66,5.65,5.56,5.37,8.43,8.30
Arkansas,8.73,8.29,7.62,7.40,5.65,5.54,10.88,NM,7.54,7.25
Louisiana,8.80,8.49,8.84,8.68,5.50,5.37,8.38,9.41,7.62,7.51
Oklahoma,8.56,8.32,7.03,7.44,5.06,5.23,--,--,7.17,7.28
Texas,11.54,11.18,8.06,8.00,5.82,5.82,5.33,5.08,8.95,8.79
Mountain,11.13,10.81,9.24,8.95,6.04,6.08,9.84,10.20,8.97,8.80
Arizona,11.03,10.91,9.52,9.24,5.84,6.11,8.07,--,9.39,9.34
